iteration,session,run,obj_init,obj_found,diff_seg_reward,current_seg_reward,expected_reward,loss
0,1,1,5,2,,0.029685616493225,,
1,2,1,5,4,0.5350660085678101,0.5647516250610352,30.647367259863188,29.556135
2,3,1,5,4,0.0065659046173095,0.5713175296783447,2.2265441673664554,1.8056331
3,4,1,5,4,0.0060193538665771,0.5773368835449219,2.1991155297057503,1.6576033
4,5,1,5,3,-0.2554442405700683,0.3218926429748535,-4.318512872328029,2.7450285
5,6,1,5,4,0.2406181335449219,0.5625107765197754,7.662090902274945,2.214058
6,7,1,5,3,-0.2237637519836426,0.3387470245361327,-2.6467156456283227,2.044998
7,8,1,5,3,0.0002541065216065,0.3390011310577392,2.1045291620905573,1.4827895
8,0,1,5,5,0.4975968837738037,0.836598014831543,27.048724698297747,22.865993
9,0,2,2,2,,0.7330354452133179,,
10,1,3,5,2,0.0,0.0360684871673583,2.359589099884033,2.3941145
11,0,3,5,5,0.75884747505188,0.7949159622192383,59.98192384127857,59.81533
12,1,4,5,2,0.0,0.047346806526184,3.0267562866210938,1.4465996
13,2,4,5,3,0.274755072593689,0.322101879119873,10.435773053501237,9.182919
14,3,4,5,4,0.2244938373565674,0.5465957164764405,7.721222509939482,6.696894
15,4,4,5,3,-0.237971305847168,0.3086244106292724,-2.8124072951650323,2.7638814
16,5,4,5,4,0.2715662002563477,0.5801906108856202,11.128492711959556,11.517837
17,6,4,5,3,-0.2617151737213135,0.3184754371643066,-4.051451885489089,4.105647
18,0,4,5,5,0.535621166229248,0.8540966033935546,31.681106709519558,30.117504
19,0,5,4,4,,0.8414356708526611,,
20,1,6,2,0,0.0,-0.2,3.3714842796325684,1.0500616
21,2,6,2,1,0.4755108416080475,0.2755108416080475,25.641228396701823,18.607655
22,3,6,2,1,0.035166710615158,0.3106775522232056,4.016122708794999,3.2895613
23,4,6,2,1,-0.0240542292594909,0.2866233229637146,4.033001679643107,4.3116307
24,5,6,2,1,0.0458353161811828,0.3324586391448975,3.74937852594168,3.97898
25,6,6,2,1,-0.0333421528339386,0.2991164863109589,3.3109852262702724,1.3944539
26,0,6,2,2,0.4548609316349029,0.7539774179458618,23.568094450661707,16.157558
27,1,7,5,3,0.0,0.3198027610778808,3.447946786880493,1.7547371
28,2,7,5,4,0.2770681381225586,0.5968708992004395,11.458184715684189,11.181186
29,3,7,5,3,-0.2896986484527588,0.3071722507476807,-4.47681022873644,3.5848489
30,4,7,5,4,0.2913700580596923,0.598542308807373,12.76084028616992,4.4819026
31,0,7,5,5,0.2528080940246582,0.8513504028320312,11.285344928060113,0.24771166
32,1,8,4,3,0.0,0.5237172484397888,5.021299362182617,4.2567677
33,2,8,4,3,0.0167885422706604,0.5405057907104492,4.938137202016506,2.7650313
34,3,8,4,3,-0.0326136946678161,0.5078920960426331,4.43287934380588,5.142851
35,4,8,4,3,0.0034589767456054,0.5113510727882385,3.9287987431198417,2.8924446
36,5,8,4,3,0.0456556677818298,0.5570067405700684,4.544107795531673,2.4611688
37,6,8,4,3,0.0069184303283691,0.5639251708984375,3.7291908028428224,3.3458028
